feature,coef,odds_ratio,ci_low,ci_high,p_value,significant_95
age_band_60+,0.9098031300847319,2.483833493158404,1.4587361672525103,4.229297223332325,0.0008070101516202835,True
age_band_55-59,0.7701666228427162,2.160126150160369,1.3072472460398532,3.56944334649943,0.0026513175085121857,True
age_band_50-54,0.6270489924528129,1.8720779037729043,1.1799938600175572,2.9700795881620987,0.007749077574231748,True
age_band_45-49,0.5465907728962209,1.7273540259163773,1.1327999874605357,2.6339618325194096,0.011109577637102798,True
hipo_flag,0.47125232760553015,1.6019991652931165,1.2635054616223,2.0311754903731605,9.972682940728471e-05,True
legacy_entity_code_NovaCorp-Origin,0.3257452470782749,1.3850624752120155,1.0618119852109207,1.8067210456843357,0.01629341739467309,True
age_band_35-39,0.32434681886391203,1.3831269184520472,1.0025891363308004,1.908099742181383,0.048187067563727794,True
age_band_40-44,0.2878337967965882,1.3335356478073705,0.9222061924012761,1.928329411172757,0.1261181639888068,False
age_band_25-29,0.26796509919506845,1.307301513343633,0.9388281111021559,1.820394198448313,0.11267326164362328,False
age_band_30-34,0.1715853925126574,1.187185515158133,0.856033021017554,1.6464428506810838,0.3037879221060861,False
department_Risk & Compliance,0.14151634849270994,1.1520193378866046,0.8726975701197666,1.520742809771496,0.3178608637171003,False
department_Wealth Management,0.0795778426727931,1.082829846618271,0.7985899646554493,1.468238431011628,0.6084829216171441,False
psychological_safety,0.05864512075954609,1.0603988604171646,0.9641108684450155,1.1663033578156885,0.22725806120283532,False
goal_achievement_score,0.04976068892732165,1.0510195456629106,0.9228063437652094,1.1970464798262443,0.4534550329621885,False
promotion_eligible,0.03560749473992757,1.036249033461641,0.8809959049403396,1.2188615785029135,0.6672126942534853,False
department_Technology,0.01955071994571222,1.0197430868630355,0.7800540529281746,1.3330819310552338,0.8862816658174789,False
department_Insurance,0.015678135767776897,1.0158016825550105,0.7626710491862755,1.352946410359376,0.914618265347561,False
wellbeing,0.011440583858173752,1.0115062776236647,0.9204781532577301,1.1115363749275273,0.8120528744346439,False
role_level,-0.0391713794244501,0.9615858989863073,0.8876155145818858,1.0417206841690492,0.33748877835055735,False
compa_ratio,-0.040387753837480056,0.9604169615797525,0.8859438722369826,1.041150313237168,0.3267260637983126,False
department_Executive Leadership,-0.0647950934942519,0.937259494270492,0.5211951914327257,1.6854632852336413,0.8286695470909127,False
promotion_recommendation_Yes,-0.0849248778680469,0.9185812875942877,0.7194819294302697,1.1727766152327772,0.495658896148093,False
engagement_mean,-0.10782222638284303,0.8977871851200212,0.799916008045459,1.0076330785468233,0.06712370881320325,False
performance_rating_Meets Expectations,-0.12669682646195946,0.8810007282208033,0.6650802019007743,1.1670205802358016,0.37711128049177656,False
department_Retail Banking,-0.14637542858798863,0.8638333345707718,0.663437223893413,1.1247605697137428,0.27706747674186527,False
performance_rating_High Performer,-0.19305954321353122,0.8244328832943972,0.5689059298779517,1.1947310501807002,0.30774188663098423,False
legacy_entity_code_Entity_B,-0.21691437348343537,0.8049988956052689,0.6094168363065856,1.0633497194680308,0.12665240744036055,False
performance_rating_Unsatisfactory,-0.22634953970726876,0.7974393162400616,0.4811884283232961,1.3215393921696061,0.37981690725758543,False
tenure_months,-0.287315380412431,0.7502750694593208,0.6177673149384543,0.9112050220854907,0.0037576519528071876,True
performance_rating_Outstanding,-0.39012093739936976,0.6769749979516055,0.42164447631348034,1.0869231629892082,0.1063262742386725,False
survey_response_rate,-0.6732969009066662,0.5100243032811704,0.4744435162896354,0.5482734635552358,2.136020062827598e-74,True
legacy_entity_code_Entity_C,-2.7495519863805367,0.06395650817582835,0.032897015223158015,0.1243406099397527,5.23258032519387e-16,True
has_survey_data,-29.4219809732153,1.6679998861935934e-13,0.0,inf,0.9988877257466997,False
