employee_id,department,legacy_entity_code,role_level,hipo_flag,tenure_months,tenure_bucket,survey_response_rate,dt_probability,lr_probability
E04729,Corporate Operations,NovaCorp-Origin,1,0,235,10-20y,0.2,0.9834551524331955,0.7880710613575486
E03378,Wealth Management,NovaCorp-Origin,1,0,299,20+y,0.2,0.9834551524331955,0.7723328569597477
E11208,Wealth Management,NovaCorp-Origin,1,0,21,1-2y,0.25,0.9834551524331955,0.7720381786103454
E04990,Technology,NovaCorp-Origin,1,0,222,10-20y,0.2,0.9834551524331955,0.7608086766001568
E07411,Wealth Management,NovaCorp-Origin,1,0,99,5-10y,0.2,0.9834551524331955,0.743552592653101
E11206,Insurance,NovaCorp-Origin,1,0,21,1-2y,0.25,0.9834551524331955,0.7422903124044222
E03862,Technology,NovaCorp-Origin,1,0,277,20+y,0.2,0.9834551524331955,0.7333677341801504
E01629,Retail Banking,NovaCorp-Origin,2,0,383,20+y,0.2,0.9834551524331955,0.7322105478291752
E11259,Retail Banking,Entity_B,2,1,20,1-2y,0.25,0.9834551524331955,0.732165748785797
E10319,Wealth Management,NovaCorp-Origin,1,0,29,2-3y,0.2,0.9834551524331955,0.7240722663221593
E06878,Technology,NovaCorp-Origin,2,0,125,10-20y,0.2,0.9834551524331955,0.722476404982806
E05836,Corporate Operations,NovaCorp-Origin,3,0,176,10-20y,0.2,0.9834551524331955,0.7135371381069029
E02608,Retail Banking,NovaCorp-Origin,2,0,336,20+y,0.2,0.9834551524331955,0.6980529084359322
E06737,Corporate Operations,NovaCorp-Origin,1,0,132,10-20y,0.2,0.9834551524331955,0.6866983116142206
E01453,Retail Banking,NovaCorp-Origin,2,0,392,20+y,0.2,0.9834551524331955,0.6646339105199612
E04425,Technology,NovaCorp-Origin,1,0,249,20+y,0.2,0.9834551524331955,0.6613388892236088
E11261,Insurance,Entity_B,1,0,20,1-2y,0.25,0.9834551524331955,0.6503585578603889
E09258,Risk & Compliance,Entity_A,1,0,31,2-3y,0.2,0.9834551524331955,0.6195077289138241
E04610,Retail Banking,NovaCorp-Origin,1,0,240,10-20y,0.2,0.9834551524331955,0.603754206578288
E01311,Technology,NovaCorp-Origin,2,0,399,20+y,0.2,0.9834551524331955,0.5915229659657043
E11264,Technology,Entity_B,1,0,20,1-2y,0.25,0.9834551524331955,0.586759539696544
E10040,Technology,Entity_A,2,0,29,2-3y,0.2,0.9834551524331955,0.5636510276632737
E11262,Wealth Management,Entity_B,1,0,20,1-2y,0.25,0.9834551524331955,0.5522165577025242
E11223,Risk & Compliance,NovaCorp-Origin,3,0,21,1-2y,0.5,0.9772036474164135,0.6882267930061595
E11263,Technology,Entity_B,1,1,20,1-2y,0.5,0.9772036474164135,0.6756709705207713
E11239,Insurance,NovaCorp-Origin,1,0,20,1-2y,0.5,0.9772036474164135,0.666551573417088
E11200,Corporate Operations,NovaCorp-Origin,1,0,21,1-2y,0.5,0.9772036474164135,0.6391528339020122
E11196,Risk & Compliance,NovaCorp-Origin,1,0,22,1-2y,0.5,0.9772036474164135,0.6332610022016086
E11205,Technology,NovaCorp-Origin,1,0,21,1-2y,0.5,0.9772036474164135,0.6325800442853431
E11258,Wealth Management,Entity_B,1,0,20,1-2y,0.5,0.9772036474164135,0.5921732804886113
E11251,Insurance,Entity_B,1,0,20,1-2y,0.5,0.9772036474164135,0.4878587400355159
E11254,Technology,Entity_B,1,0,20,1-2y,0.5,0.9772036474164135,0.4094553563707718
E14373,Retail Banking,NovaCorp-Origin,1,1,6,<1y,0.0,0.9640179910044979,0.9026735624368615
E14374,Corporate Operations,NovaCorp-Origin,2,1,6,<1y,1.0,0.9640179910044979,0.5363949385360587
E14376,Risk & Compliance,NovaCorp-Origin,1,0,6,<1y,1.0,0.9640179910044979,0.44407830802926446
E14375,Technology,NovaCorp-Origin,1,1,6,<1y,1.0,0.9640179910044979,0.4424207231938637
E14381,Insurance,NovaCorp-Origin,1,0,6,<1y,1.0,0.9640179910044979,0.37318389733401075
E14379,Technology,NovaCorp-Origin,1,0,6,<1y,1.0,0.9640179910044979,0.3727220661993786
E14380,Wealth Management,NovaCorp-Origin,1,0,6,<1y,1.0,0.9640179910044979,0.3717138251737297
E14378,Corporate Operations,NovaCorp-Origin,1,0,6,<1y,1.0,0.9640179910044979,0.33891740389335134
E14372,Corporate Operations,NovaCorp-Origin,1,0,6,<1y,1.0,0.9640179910044979,0.3198818806264163
E14377,Technology,NovaCorp-Origin,2,0,6,<1y,1.0,0.9640179910044979,0.3127990690498881
E13003,Wealth Management,Entity_B,1,1,16,1-2y,0.0,0.8323134855260059,0.8675789604615907
E13291,Retail Banking,NovaCorp-Origin,1,1,10,<1y,0.0,0.8323134855260059,0.8573486043883358
E13499,Executive Leadership,NovaCorp-Origin,1,0,8,<1y,0.0,0.8323134855260059,0.846196076031215
E13990,Wealth Management,NovaCorp-Origin,1,0,7,<1y,0.0,0.8323134855260059,0.8451913656147171
E13287,Risk & Compliance,NovaCorp-Origin,2,0,11,<1y,0.0,0.8323134855260059,0.8350125540199898
E13295,Corporate Operations,NovaCorp-Origin,2,0,10,<1y,0.0,0.8323134855260059,0.8272800883097912
E13886,Insurance,NovaCorp-Origin,1,0,7,<1y,0.0,0.8323134855260059,0.8195379894337695
